	FoldChange	log2(FC)	p.value	-log10	fdr
myristic acid	0.5176596239628211	-0.949924298574231	0.00318932983192685	2.49630056486536	0.010867346093973001
myo-inositol	1.9172915452080301	0.939069731291379	0.0233070371555225	1.63251293148976	0.0549807030335402
citric acid	0.555921381135136	-0.8470472246477041	0.000753681344020449	3.12281223474712	0.00346693418249407
adenosine	0.563171781050634	-0.82835304848008	0.00114848361793649	2.9398751952365	0.00480274967500714
quinic acid	1.72409793680899	0.7858417285659499	0.004764133183755639	2.32201610609739	0.0141387178356619
3,4 dihydroxyphenylalanine (DOPA)	1.7133640191268602	0.7768316971293441	0.0775845965909003	1.11022449368509	0.152543035443176
dehydroascorbic acid	0.602272772635974	-0.731511055410157	0.00241353504204235	2.6173463912910497	0.00888180895471586
L-homoserine	0.653847632464827	-0.6129736143596469	0.0146165694800907	1.83515454466189	0.0365025898804686
serotonin	0.656669956999314	-0.6067596422049361	0.03539610609766101	1.45104451179664	0.0757312037438328
3,4-dihydroxybenzoic acid 	1.49586198151997	0.580977068432478	0.17038233500409397	0.768575434263758	0.28178940249744
alpha ketoglutaric acid	1.4732473496637197	0.5589996708184389	0.0289787132667222	1.5379209022868099	0.0666510405134611
L-alanine	1.40819486867072	0.49384699065980203	0.0005869926444385969	3.23136734083031	0.00300018462713061
oxalic acid	1.40414686170482	0.48969383704747105	0.000642012337939433	3.1924566257512	0.00310869132054883
arachidic acid	0.72290409414847	-0.468123833705596	0.00308312754716041	2.51100850839638	0.010867346093973001
L-leucine	0.7317081374688951	-0.4506597914499871	0.10557246827564801	0.9764493245570859	0.190739001047161
L-Isoleucine	0.732025945701226	-0.450033311034979	0.10573575058049099	0.9757781474634201	0.190739001047161
L-tryptophan	1.3480437719470502	0.430867342621904	0.0146803894084493	1.83326242427705	0.0365025898804686
D-malic acid	0.74373056860433	-0.42714802427775	0.0144461682313807	1.84024733191413	0.0365025898804686
glyceric acid	0.7476566676003871	-0.41955217459005795	0.00941839604491755	2.02602305136347	0.0254850716509534
benzoquinone	1.33708606989552	0.41909233649692296	0.0196774327224467	1.7060315637911	0.0476401002753973
eicosapentaenoic acid	0.752600362419499	-0.410044110742413	0.123462085673965	0.9084663906684141	0.214311544943486
4-hydroxybenzoic acid	1.2917738476212	0.369353517807485	0.251194127236111	0.599990518353492	0.39169253738512205
D-glucose-6-phosphate	0.7784626159649789	-0.361300336324143	0.105373981827399	0.9772666087029399	0.190739001047161
adenine	0.7868440093827499	-0.34585044288529704	0.425252870622601	0.371352746048498	0.551031888694074
fumaric acid	0.78845959676702	-0.34289126636149897	0.0779295941937964	1.10829758527569	0.152543035443176
glycine	0.825639888847792	-0.276415422027432	0.031892043185214	1.4963176564974199	0.0715626334887729
ethanolamine	0.827200568221344	-0.27369091821682395	0.0329122462096314	1.482642476771	0.0720934916972879
L-lysine	1.2067212943421	0.271092508155728	0.37628235783613	0.424486143290634	0.528958703587512
glycerol	1.17948834702304	0.23816116527079198	0.28857544254898304	0.539740629650184	0.442482345241773
4-hydroxy-3-methoxybenzoic acid	1.16617788680704	0.22178787159150898	0.31090145736123104	0.507377242181776	0.468900558643168
L-mimosine	0.8670598282852879	-0.20579655012245301	0.439504751283307	0.357036425607346	0.553896398877592
D-saccharic acid	0.872139915909761	-0.197368492228529	0.516463240429897	0.28696058420550297	0.625192343678296
Sucrose	1.142903423782	0.192703499862662	0.0538521793672249	1.26879671635843	0.11260001140419802
heptanoic acid	1.13523746916147	0.18299411227127302	0.390969476564683	0.40785714714882704	0.528958703587512
