	FoldChange	log2(FC)	p.value	-log10	fdr
4-hydroxy-3-methoxybenzoic acid	1.13485447354598	0.182507307424297	0.117572716750693	0.929693446451354	0.211086670291492
myo-inositol	0.882913666178938	-0.179655720960281	0.0626152181625822	1.2033201019203201	0.12256595895654401
L-mimosine	1.1312743872254198	0.177948893146075	0.623717274860989	0.205012227292612	0.720979777699613
trans-aconitic acid	1.12575855988987	0.170897447489849	0.0130415556008362	1.8846706027325202	0.0324276517642413
tyrosine	0.894356106473701	-0.161078710067883	0.141274264236638	0.849936945851336	0.228704999421439
3,5-dimethoxy-4-hydroxycinnamic acid	0.896919949219193	-0.156948865615815	0.141697662685022	0.848637313417813	0.228704999421439
fructose	0.910592459363326	-0.135122582470925	0.101020704435748	0.99558960739869	0.185878096161776
4-hydroxycinnamic acid	1.09731036356098	0.133971635715625	0.334270509265476	0.47590193698274397	0.465952831097331
glyoxylic acid	0.9213346580725029	-0.11820281061735499	0.30300594724048496	0.51854884731163	0.435571049158198
oxalic acid	1.08286620298276	0.114854997131021	0.297667789061351	0.5262681582648271	0.434689469740385
L-alanine	1.0803997513330001	0.11156521290593499	0.31285267887469004	0.504660121921829	0.44280686856109996
L-tryptophan	1.07987024743001	0.110857974763749	0.487287382263721	0.31221483402027694	0.622644988448088
Sucrose	0.9271772924840508	-0.109082861180824	0.00716686344752201	2.14467087019945	0.0199453927402026
Pyruvic acid	1.07203086391009	0.100346441774277	0.219678049467097	0.658213336213643	0.341849851488561
2-hydroxypyridine	1.0661113558816702	0.09235813620950699	0.176626008780726	0.7529453447094041	0.280165393238394
D-glucose	1.06491613682745	0.0907398212989741	0.7134937234818879	0.14660984296863502	0.7908605127751049
ferulic acid	0.939104245094908	-0.0906427820201027	0.45118978730187903	0.345640739185697	0.585325434521406
arachidic acid	0.940373094952009	-0.088694832304963	0.036888580256182996	1.4331080592966599	0.080803556751639
D-mannose	1.0616954001186099	0.0863699170172624	0.726442000248393	0.138799054425289	0.7956269526530021
sedoheptulose anhydride monohydrate	0.944143188905864	-0.0829224193481399	0.22572328605466802	0.6464236359448751	0.341849851488561
arbutin	0.946134852756882	-0.079882269104697	0.89774783407386	0.0468456339890298	0.9385545538044899
3,4-dihydroxybenzoic acid 	0.9567485643372059	-0.0637882638487234	0.6137944049572641	0.211977074697388	0.720979777699613
spermidine	0.9568872770181359	-0.0635791121460723	0.0476162367964367	1.3222449307102802	0.10187659965749199
benzene-1,2,4-triol 	1.03732027114993	0.0528613929584816	0.227712881746087	0.642612400596979	0.341849851488561
itaconic acid	0.964670737909607	-0.0518914901684433	0.7464372859113442	0.127006674913879	0.799148317484063
3-hydroxypyridine	0.9665195876435201	-0.0491291242616979	0.523778208951542	0.280852573740034	0.651183719237053
lauric acid	1.0276490397648101	0.0393476428965033	0.609839319081153	0.21478457815122	0.720979777699613
4-hydroxybenzoic acid	0.9748212225699291	-0.0367904349595675	0.3829770580356421	0.41682724134978205	0.518145431459986
benzoic acid	0.9765466710426421	-0.0342390999583145	0.6269389371300981	0.202774756711346	0.720979777699613
elaidic acid	1.02143865276657	0.0306025589343967	0.8005013405816309	0.0966379364408495	0.8465071647529889
palmitic acid	0.984830547001806	-0.0220525835477886	0.230377073829247	0.637560742283799	0.341849851488561
1,6-anhydro-glucose 	1.0122831388014	0.0176128728507486	0.5584206270262599	0.25303854805282	0.684995969152212
ribose	1.01073904708625	0.0154105698723188	0.747029948952493	0.126661986666422	0.799148317484063
eicosapentaenoic acid	1.00467250815045	0.00672530452431826	0.99192378941585	0.00352169388170616	0.9959736896174041
L-Isoleucine	1.00307406789899	0.0044281397938033705	0.9894044251380659	0.00462615157367097	0.9959736896174041
L-leucine	1.00298117954172	0.0042945347271838895	0.9897250928307879	0.00448541878238247	0.9959736896174041
D-saccharic acid	0.999429939080175	-0.000822658567071134	0.9959736896174041	0.0017521340711826	0.9959736896174041
