	FoldChange	log2(FC)_Maize	p.value	-log10	fdr
benzoic acid	1.19543652710147	0.257537530746365	0.189032315024669	0.723463946952399	0.310553088969099
benzoquinone	1.75548805899974	0.811872182900269	0.002346690414003	2.62954420071179	0.007016425348403
Beta- alanine	0.063186256798104	-3.98424538778545	0.000125137247203	3.90261340296087	0.000677213337803
beta-cyano-L-alanine	0.238963978004442	-2.06513493555625	0.00170620706059	2.76796826518789	0.006007205617337
beta-gentiobiose	1.39067040854406	0.475780539001838	0.02094523062899	1.67891485323802	0.042715542281099
caffeic acid	4.84515624539009	2.27654319006035	0.004270207701504	2.36955100051984	0.011763278143531
capric acid	0.223433626706482	-2.16208176747304	0.00457141225467	2.33994961182044	0.011763278143531
citric acid	0.496910844042008	-1.00894106884776	2.9153405985886E-06	5.53531069941389	3.83159050100216E-05
D-glucose	1.01269700718089	0.018202593069167	0.941995909211948	0.025950983205568	0.96292915163888
D-glucose-6-phosphate	0.768272817833082	-0.38030938414524	0.143738599588413	0.842426590688309	0.240435475675164
D-malic acid	0.54611386663359	-0.872726305462972	2.83409547634082E-05	4.54758552312543	0.000186240559874
D-mannitol	1.10453184909907	0.14343501930416	0.566781185108546	0.246584575042714	0.714299575753237
D-mannose	1.01275245969218	0.018281588930937	0.941716105037356	0.026080002300857	0.96292915163888
D-saccharic acid	1.54915968949471	0.631485866766337	0.062656311289189	1.20303517654506	0.110853473819334
dehydroascorbic acid	0.558716235121614	-0.839812352295195	0.001224148097788	2.91216603794103	0.004692567708187
eicosapentaenoic acid	0.994972022385357	-0.007272135797289	0.988486929152698	0.005029069025461	0.99586070980592
elaidic acid	2.09480214956486	1.06681399031091	1.1629235687792E-05	4.93444882761739	8.91574736064057E-05
ethanolamine	0.832170988634101	-0.265048101245468	0.524836057537081	0.279976335500829	0.682530200318684
ferulic acid	1.42759226373904	0.513583988416379	0.00236423028044	2.62631022463778	0.007016425348403
fructose	0.786788556469067	-0.34595212055179	0.011244494725661	1.94906005492711	0.025862337869019
fumaric acid	0.538612177357423	-0.892681247122478	2.68945722448043E-05	4.57033535873289	0.000186240559874
galactinol	0.53924402626279	-0.890989805567066	0.00014109346863	3.85049308974458	0.000721144395219
gamma-aminobutyric acid (GABA)	0.200400636436116	-2.31904100460888	4.77774661999669E-06	5.32077688607529	4.88391876710773E-05
glyceric acid	0.634254433088403	-0.656866396920886	0.007475082562905	2.12638400615859	0.018097568310191
glycerol	1.70570875356874	0.770371330330027	0.246467046110058	0.608241139872711	0.384321495629243
glycerol 1-phosphate	2.69721376568624	1.43146986583535	3.10445497813895E-05	4.50801463405849	0.000190406571993
glycine	0.832800694354052	-0.263956823391327	0.526735263289419	0.278407606002947	0.682530200318684
glyoxylic acid	0.863775025366244	-0.211272490892959	0.10661583985323	0.972178267637681	0.185069005028248
heptanoic acid	1.74350838842202	0.801993305270762	0.01068195468842	1.97134926858847	0.025198457213708
itaconic acid	1.02861561936186	0.040703966060253	0.820185556608404	0.08608788286675	0.880217408220073
L-alanine	0.978679100587979	-0.031092203273003	0.8213881797411	0.085451551190367	0.880217408220073
L-asparagine	0.191050350868468	-2.38797518764609	0.000371880111641	3.4295970473345	0.00171064851355
L-glutamic acid	0.44339305233344	-1.17334193055183	4.72390958449849E-06	5.3256984233636	4.88391876710773E-05
L-glutamine	0.040450076610499	-4.6277137547219	0.002039688608074	2.69043612969067	0.006470736273889
