	FoldChange	log2(FC)	p.value	-log10	fdr
glycine	0.701359297496316	-0.5117743868573611	0.00356802334665337	2.4475723125667797	0.0156494734021081
ethanolamine	0.701959101869053	-0.5105411174195229	0.00357216240700294	2.44706880430146	0.0156494734021081
alpha ketoglutaric acid	1.3866593459406698	0.47161341110460897	0.0110532759504839	1.95650898746623	0.0360858256569743
L-proline	0.7217277268334709	-0.4704734146051479	0.18706357104584	0.728010779224532	0.363953623220958
myo-inositol	1.37363996592047	0.45800392013445207	0.0028705267809648397	2.54203839696881	0.0138993928341456
aspartic acid	0.729842036748545	-0.45434384659294	0.000296346457141212	3.52820026043853	0.0024785340051810397
glyceric acid	0.742015037762634	-0.43047966992034004	0.00807057982482864	2.09309526259173	0.0274997534771939
threonic acid	0.7485393099527399	-0.41785001269223204	0.0121997006234956	1.9136508266333798	0.0374124152453865
L-leucine	0.753074065116871	-0.409136333413658	0.133651187587572	0.874027177869374	0.273592652665958
L-Isoleucine	0.75314602858987	-0.40899847660755895	0.13382249315182698	0.873470883349168	0.273592652665958
Antiarol	0.758452734305664	-0.398868818314235	0.11136764064237101	0.953240980903521	0.249898120465809
Trehalose	0.765521020907555	-0.38548610077732204	3.0778698945371695e-05	4.5117497422949295	0.000535082993558909
beta-gentiobiose	0.7704359303306991	-0.37625310808557794	4.07128364664387e-05	4.39026863923668	0.000535082993558909
D-saccharic acid	0.7923689719074442	-0.335755707531868	0.0140688676583808	1.85174085562186	0.041485716773707
4-hydroxycinnamic acid	1.25501351428715	0.32770289954662396	0.014429814529985001	1.84073925096622	0.041485716773707
glycerol	0.797679523225476	-0.32611885109401895	0.193844864541597	0.712545700103195	0.363953623220958
L-glutamic acid	0.8087251065116391	-0.30627869491042303	0.00493826933422403	2.30642522724786	0.0197530773368961
arachidic acid	0.814186799583035	-0.29656826364583505	0.0662624050968514	1.1787328047756	0.16042477023448198
benzoquinone	1.22360198313503	0.2911343502375481	0.0485185686685277	1.31409201960532	0.120640765337961
maltose	0.8325191157177622	-0.264444696175413	0.00244813801932304	2.6111641015016804	0.0125127054320956
pantothenic acid	0.8349295407876949	-0.260273640348813	0.2703132317382	0.568132695217885	0.48152969967793
pelargonic acid (nonanoic acid)	0.8405051242195619	-0.25067147987135	0.0899994292168417	1.0457602448802499	0.212306345844857
L-homoserine	0.8593426730575899	-0.21869455707514698	0.306976045752555	0.5128955124816711	0.526455878994471
quinic acid	0.880122360637032	-0.184223983850455	0.23533450326535899	0.628314394629219	0.43301548600826
trans-aconitic acid	0.882095704238927	-0.18099290334440898	0.12555798766744	0.9011556534046979	0.268635694544289
nicotinic acid	0.8831920317032491	-0.17920093893303898	0.30900671158371096	0.5100320876556961	0.526455878994471
elaidic acid	1.12900492749498	0.175051782707074	0.160490819668778	0.794549804886648	0.320981639337556
arbutin	0.8911294873515341	-0.166293014221194	0.737013649436672	0.132524468965731	0.869298150617614
galactinol	1.11979690424279	0.16323709673725798	0.40175013448981106	0.396043969180242	0.63725883401832
lactose	0.8969568554205909	-0.156889503240868	0.5056041710618401	0.29618935192965	0.684212700085306
heptanoic acid	0.8987853482111541	-0.15395148865548097	0.5712574811956479	0.243168099358482	0.729940114861106
2-hydroxypyridine	1.10342999544145	0.141995104077788	0.325468830001805	0.487490597284454	0.544420588366656
acetohydroxamic acid	0.9102263905443442	-0.135702679361851	0.49114491558999396	0.308790347479245	0.684212700085306
shikimic acid	0.91980143977092	-0.120605638908219	0.46216096226905196	0.335206741217673	0.6831564247485941
allantoin	0.925506646667306	-0.11168474381957598	0.44583934528647706	0.35082160771131893	0.6831564247485941
4-hydroxybenzoic acid	0.9457603636707959	-0.0804534144300075	0.482664865311507	0.3163543136874	0.6831564247485941
eicosapentaenoic acid	0.9511172240811729	-0.0723049323732189	0.7631178678834609	0.117408377617947	0.8775855480659799
L-tryptophan	0.956861477491096	-0.0636180105120486	0.646836322712077	0.189205600530474	0.8017570043347692
sedoheptulose anhydride monohydrate	0.9571029923306559	-0.0632539157039393	0.551905366087256	0.258135383338695	0.725361338286107
D-mannitol	0.958533557818587	-0.0610991540205635	0.4725255724717971	0.32557468306400106	0.6831564247485941
D-mannose	0.9586852143451742	-0.0608709128595034	0.474568364409944	0.32370121601358504	0.6831564247485941
Sucrose	1.04299987157661	0.0607389802202912	0.12144149413954901	0.9156328981303342	0.266014701448536
D-glucose	0.960876505805635	-0.0575770706629096	0.505722430497835	0.296087783513194	0.684212700085306
3,4 dihydroxyphenylalanine (DOPA)	1.03917014432845	0.0554318874303502	0.8375972953480629	0.0769647336898973	0.9000643676554759
fructose	0.9634525057154979	-0.0537145456030722	0.54292797540349	0.265257779913035	0.723903967204653
benzene-1,2,4-triol 	0.963470046059251	-0.0536882805443906	0.409824791013	0.3874017739131179	0.639048826664339
3-hydroxypyridine	0.9636368543928	-0.0534385242323405	0.4818449307586	0.317092705643771	0.6831564247485941
L-alanine	0.9667350267756251	-0.048807580512138	0.5669863552100121	0.24642739247976103	0.729940114861106
oxalic acid	0.9675909168800392	-0.0475308685972535	0.58155034408356	0.235412682979758	0.732912762406678
tyrosine	0.9708088399857029	-0.0427408494540743	0.7082794945675871	0.14979533129924602	0.8462560194833509
3,4-dihydroxybenzoic acid 	1.02911207704354	0.04140010972448	0.396518753019826	0.401736268269614	0.63725883401832
xylose	0.972266232673994	-0.0405766782103686	0.8289106774273759	0.0814922660606242	0.9000643676554759
lauric acid	0.972297243278773	-0.0405306639287203	0.8181242034116909	0.0871807589672934	0.9000643676554759
palmitic acid	1.0221896292158599	0.031662859437706	0.39149891870042	0.407269433103073	0.63725883401832
Pyruvic acid	1.02072873061584	0.0295995057901087	0.6536062535337789	0.184683801239686	0.8017570043347692
fumaric acid	0.9808885403517829	-0.0278388844545531	0.85403021370199	0.06852676466000901	0.9000643676554759
ferulic acid	1.01921698542791	0.0274612256703691	0.688297888116588	0.162223562976732	0.833202706667449
D-malic acid	0.9833355659970009	-0.0242442706034792	0.841892631672146	0.0747432914523323	0.9000643676554759
dehydroascorbic acid	1.0166272758956	0.0237908436222224	0.838313248070462	0.0765936705245297	0.9000643676554759
gamma-aminobutyric acid (GABA)	0.983894156056261	-0.0234249711378315	0.8609311342791508	0.0650315862916334	0.9000643676554759
1,6-anhydro-glucose 	1.01062437131043	0.0152468762269651	0.7465693979410111	0.12692981588002902	0.869422590007253
ribose	0.992926810474437	-0.0102407155597471	0.84628448554404	0.0724836207276813	0.9000643676554759
4-hydroxy-3-methoxybenzoic acid	0.99491204664926	-0.0073591023682706	0.9583977688244559	0.0184542060027133	0.9761957917742109
L-lysine	1.00491692354685	0.0070762387763412095	0.9729778678454691	0.0118970384386412	0.9761957917742109
glyoxylic acid	1.00311901075398	0.00449277847163117	0.9761957917742109	0.0104630688503416	0.9761957917742109
benzoic acid	1.00215532594524	0.00310613189051687	0.961081798120692	0.0172396477522126	0.9761957917742109
